code,Fscore,sex,monthlyincome,Brand,Cost,Q,Bscore
1,19,2, ,1,1,1,7
1,19,2, ,1,1,2,3
1,19,2, ,1,1,3,1
1,19,2, ,1,1,4,1
1,19,2, ,2,1,1,7
1,19,2, ,2,1,2,5
1,19,2, ,2,1,3,4
1,19,2, ,2,1,4,2
1,19,2, ,3,1,1,7
1,19,2, ,3,1,2,3
1,19,2, ,3,1,3,2
1,19,2, ,3,1,4,1
1,19,2, ,4,1,1,3
1,19,2, ,4,1,2,2
1,19,2, ,4,1,3,3
1,19,2, ,4,1,4,0
1,19,2, ,5,1,1,7
1,19,2, ,5,1,2,4
1,19,2, ,5,1,3,2
1,19,2, ,5,1,4,1
1,19,2, ,6,2,1,7
1,19,2, ,6,2,2,2
1,19,2, ,6,2,3,6
1,19,2, ,6,2,4,2
1,19,2, ,7,2,1,7
1,19,2, ,7,2,2,3
1,19,2, ,7,2,3,6
1,19,2, ,7,2,4,3
1,19,2, ,8,2,1,7
1,19,2, ,8,2,2,4
1,19,2, ,8,2,3,7
1,19,2, ,8,2,4,3
1,19,2, ,9,2,1,7
1,19,2, ,9,2,2,3
1,19,2, ,9,2,3,7
1,19,2, ,9,2,4,3
1,19,2, ,10,2,1,3
1,19,2, ,10,2,2,1
1,19,2, ,10,2,3,7
1,19,2, ,10,2,4,1
2,40,1,up to 15 000 CZK/month,1,1,1,7
2,40,1,up to 15 000 CZK/month,1,1,2,7
2,40,1,up to 15 000 CZK/month,1,1,3,1
2,40,1,up to 15 000 CZK/month,1,1,4,1
2,40,1,up to 15 000 CZK/month,2,1,1,7
2,40,1,up to 15 000 CZK/month,2,1,2,7
2,40,1,up to 15 000 CZK/month,2,1,3,2
2,40,1,up to 15 000 CZK/month,2,1,4,1
2,40,1,up to 15 000 CZK/month,3,1,1,7
2,40,1,up to 15 000 CZK/month,3,1,2,7
2,40,1,up to 15 000 CZK/month,3,1,3,1
2,40,1,up to 15 000 CZK/month,3,1,4,0
2,40,1,up to 15 000 CZK/month,4,1,1,7
2,40,1,up to 15 000 CZK/month,4,1,2,7
2,40,1,up to 15 000 CZK/month,4,1,3,0
2,40,1,up to 15 000 CZK/month,4,1,4,0
2,40,1,up to 15 000 CZK/month,5,1,1,7
2,40,1,up to 15 000 CZK/month,5,1,2,7
2,40,1,up to 15 000 CZK/month,5,1,3,1
2,40,1,up to 15 000 CZK/month,5,1,4,0
2,40,1,up to 15 000 CZK/month,6,2,1,6
2,40,1,up to 15 000 CZK/month,6,2,2,3
2,40,1,up to 15 000 CZK/month,6,2,3,6
2,40,1,up to 15 000 CZK/month,6,2,4,5
2,40,1,up to 15 000 CZK/month,7,2,1,7
2,40,1,up to 15 000 CZK/month,7,2,2,6
2,40,1,up to 15 000 CZK/month,7,2,3,7
2,40,1,up to 15 000 CZK/month,7,2,4,5
2,40,1,up to 15 000 CZK/month,8,2,1,7
2,40,1,up to 15 000 CZK/month,8,2,2,6
2,40,1,up to 15 000 CZK/month,8,2,3,7
2,40,1,up to 15 000 CZK/month,8,2,4,5
2,40,1,up to 15 000 CZK/month,9,2,1,6
2,40,1,up to 15 000 CZK/month,9,2,2,5
2,40,1,up to 15 000 CZK/month,9,2,3,6
2,40,1,up to 15 000 CZK/month,9,2,4,5
2,40,1,up to 15 000 CZK/month,10,2,1,1
2,40,1,up to 15 000 CZK/month,10,2,2,1
2,40,1,up to 15 000 CZK/month,10,2,3,7
2,40,1,up to 15 000 CZK/month,10,2,4,5
3,21,1,30 000-50 000 CZK/month,1,1,1,7
3,21,1,30 000-50 000 CZK/month,1,1,2,4
