StartDate;EndDate;Progress;Durationinseconds;Finished;RecordedDate;ResponseId;UserLanguage;Code;Block;Consent;gender;sex;age;Nationality;sexualorientation;partnershipstatus;education;residence;monthlyincome;sex_clean;age_clean;education_clean
02/10/2024 07:31;02/10/2024 08:26;100;3295;TRUE;02/10/2024 08:26;R_8SBPAxyv4CsGyAx;CS;1;Block 7;Agreed;Male;Male;21;Slovak;Exclusively heterosexual;Single (no partner);High school with diploma;Municipalities up to 1000 inhabitants;;Male;21;High school
02/10/2024 08:29;02/10/2024 09:11;100;2547;TRUE;02/10/2024 09:11;R_8XAq0hK7xbKcsOB;CS;2;Block 1;Agreed;Female;Female;22;Slovak;Exclusively heterosexual;Single (no partner);High school with diploma;City with 20 001-50 000 inhabitants;up to 15 000 CZK/month;Female;22;High school
02/10/2024 09:14;02/10/2024 09:51;100;2267;TRUE;02/10/2024 09:51;R_2HkT0LKZg2bM5JD;CS;3;Block 8;Agreed;Female;Female;32;Russian;Exclusively heterosexual;Single (no partner);Bachelor's degree (Bc., BcA.);Large city over 100 000 inhabitants;30 000-50 000 CZK/month;Female;32;Bachelor's degree
02/10/2024 10:12;02/10/2024 10:27;100;912;TRUE;02/10/2024 10:27;R_23m2x6MdxBK5ZsA;CS;4;Block 5;Agreed;Female;Female;20;Czech;Predominantly heterosexual;Single (no partner);High school with diploma;Municipality with 5001-20 000 inhabitants;up to 15 000 CZK/month;Female;20;High school
02/10/2024 10:29;02/10/2024 11:01;100;1912;TRUE;02/10/2024 11:01;R_2sKiecFAd7BbcVX;CS;5;Block 9;Agreed;Female;Female;23;Czech;Predominantly heterosexual;Serious relationship;Bachelor's degree (Bc., BcA.);Municipality with 1001-5000 inhabitants;up to 15 000 CZK/month;Female;23;Bachelor's degree
02/10/2024 11:02;02/10/2024 11:29;100;1637;TRUE;02/10/2024 11:29;R_263SPdQRqGrCu3v;CS;6;Block 10;Agreed;Female;Female;20;Czech;Exclusively heterosexual;Single (no partner);High school with diploma;Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;20;High school
02/10/2024 11:30;02/10/2024 12:01;100;1893;TRUE;02/10/2024 12:01;R_2oonLv7urRJS1jQ;CS;7;Block 1;Agreed;Male;Male;26;Czech;Exclusively heterosexual;Single (no partner);High school with diploma;City with 20 001-50 000 inhabitants;up to 15 000 CZK/month;Male;26;High school
02/10/2024 12:02;02/10/2024 12:41;100;2310;TRUE;02/10/2024 12:41;R_2mQdCBZtXUbyrdv;CS;8;Block 6;Agreed;Male;Male;25;Czech;Exclusively homosexual;Serious relationship;Master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr., etc.);Municipality with 1001-5000 inhabitants;up to 15 000 CZK/month;Male;25;Master's degree
02/10/2024 12:58;02/10/2024 13:41;100;2561;TRUE;02/10/2024 13:41;R_28TCmrQWCjtHqkW;CS;9;Block 4;Agreed;Female;Female;36;Czech;Predominantly heterosexual;Single (no partner);Bachelor's degree (Bc., BcA.);Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;36;Bachelor's degree
02/10/2024 13:43;02/10/2024 14:18;100;2109;TRUE;02/10/2024 14:18;R_8xoZ4rKzb07IyvT;CS;10;Block 4;Agreed;Female;Female;22;Czech;Predominantly heterosexual;Single (no partner);High school with diploma;City with 20 001-50 000 inhabitants;up to 15 000 CZK/month;Female;22;High school
02/10/2024 14:20;02/10/2024 14:59;100;2314;TRUE;02/10/2024 14:59;R_2KUylBKOR7595mh;CS;11;Block 10;Agreed;Prefer not to specify;Female;27;Czech;Bisexual;Single (no partner);High school with diploma;Municipality with 1001-5000 inhabitants;up to 15 000 CZK/month;Female;27;High school
02/10/2024 15:00;02/10/2024 15:14;100;836;TRUE;02/10/2024 15:14;R_2u565QfG6ZFvlQJ;CS;12;Block 8;Agreed;Female;Female;19;Czech;Bisexual;Serious relationship;High school with diploma;Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;19;High school
02/10/2024 15:15;02/10/2024 15:31;100;959;TRUE;02/10/2024 15:31;R_2L7opm6lNDEaigs;CS;13;Block 11;Agreed;Female;Female;23;Czech;Exclusively heterosexual;;Bachelor's degree (Bc., BcA.);Municipalities up to 1000 inhabitants;up to 15 000 CZK/month;Female;23;Bachelor's degree
02/10/2024 16:43;02/10/2024 16:51;100;503;TRUE;02/10/2024 16:51;R_8K8B3u2kuC2gkJ0;CS;14;Block 6;Agreed;Female;Female;26;Czech;Exclusively heterosexual;Single (no partner);High school with diploma;Municipalities up to 1000 inhabitants;15 000-30 000 CZK/month;Female;26;High school
02/10/2024 16:55;02/10/2024 17:50;100;3355;TRUE;02/10/2024 17:51;R_2o05YQnEygyB841;CS;15;Block 6;Agreed;Female;Female;40;Czech;Exclusively heterosexual;non-binding relationship;Master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr., etc.);Large city over 100 000 inhabitants;over 50 000 CZK/month;Female;40;Master's degree
03/10/2024 07:41;03/10/2024 08:25;100;2643;TRUE;03/10/2024 08:25;R_2H7ZvJNw6x830fI;CS;16;Block 1;Agreed;Female;Female;21;Czech;Exclusively heterosexual;Serious relationship;High school with diploma;M?sto s 50 001-100 000 obyvateli;up to 15 000 CZK/month;Female;21;High school
03/10/2024 09:07;03/10/2024 09:28;100;1279;TRUE;03/10/2024 09:28;R_8Po2IYvs48hge4N;CS;17;Block 11;Agreed;Female;Female;30;Czech;Exclusively heterosexual;non-binding relationship;Master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr., etc.);Large city over 100 000 inhabitants;15 000-30 000 CZK/month;Female;30;Master's degree
03/10/2024 09:29;03/10/2024 10:03;100;2057;TRUE;03/10/2024 10:03;R_8cnFkEtJVJr3xGu;CS;18;Block 10;Agreed;Female;Female;25;Czech;Rather heterosexual;Serious relationship;Bachelor's degree (Bc., BcA.);Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;25;Bachelor's degree
03/10/2024 10:06;03/10/2024 11:11;100;3943;TRUE;03/10/2024 11:11;R_8Qzo1WdATG4tmpv;CS;19;Block 8;Agreed;Male;Male;27;Czech;Exclusively homosexual;Single (no partner);Master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr., etc.);Large city over 100 000 inhabitants;15 000-30 000 CZK/month;Male;27;Master's degree
03/10/2024 11:12;03/10/2024 11:41;100;1756;TRUE;03/10/2024 11:41;R_8EWOEgx0kY069fd;CS;20;Block 3;Agreed;Female;Female;25;Slovak;Predominantly heterosexual;Serious relationship;Bachelor's degree (Bc., BcA.);City with 20 001-50 000 inhabitants;up to 15 000 CZK/month;Female;25;Bachelor's degree
03/10/2024 11:43;03/10/2024 12:12;100;1750;TRUE;03/10/2024 12:12;R_238y0dR6oAOIX1b;CS;21;Block 3;Agreed;Female;Female;20;Czech;Bisexual;Serious relationship;High school with diploma;Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;20;High school
03/10/2024 12:16;03/10/2024 12:45;100;1757;TRUE;03/10/2024 12:45;R_2KZ2ndnOTFQbtIs;CS;22;Block 2;Agreed;Female;Female;24;Czech;Exclusively heterosexual;Serious relationship;Bachelor's degree (Bc., BcA.);Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;24;Bachelor's degree
03/10/2024 13:12;03/10/2024 13:24;100;735;TRUE;03/10/2024 13:24;R_2rcSBdCjLaIJOfD;CS;23;Block 6;Agreed;Female;Female;20;Russian;Exclusively heterosexual;Serious relationship;High school with diploma;Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;20;High school
03/10/2024 13:25;03/10/2024 13:48;100;1398;TRUE;03/10/2024 13:48;R_8Jyp09VXtpt2zJ7;CS;24;Block 2;Agreed;Female;Female;23;Slovak;Exclusively heterosexual;non-binding relationship;High school with diploma;Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;23;High school
03/10/2024 13:54;03/10/2024 14:30;100;2191;TRUE;03/10/2024 14:30;R_2lcSY5y16wJn5e1;CS;25;Block 5;Agreed;Female;Female;19;Czech;Predominantly heterosexual;Single (no partner);High school with diploma;Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;19;High school
03/10/2024 14:32;03/10/2024 15:01;100;1773;TRUE;03/10/2024 15:01;R_2sRA6QMaH547JVu;CS;26;Block 10;Agreed;Female;Female;20;Czech;Predominantly heterosexual;Serious relationship;High school with diploma;Large city over 100 000 inhabitants;up to 15 000 CZK/month;Female;20;High school
03/10/2024 15:02;03/10/2024 16:42;100;5994;TRUE;03/10/2024 16:42;R_8to1n5TJI4mixtT;CS;27;Block 1;Agreed;Male;Male;20;Czech;Exclusively heterosexual;Single (no partner);High school with diploma;Large city over 100 000 inhabitants;up to 15 000 CZK/month;Male;20;High school
03/10/2024 16:45;03/10/2024 16:57;100;742;TRUE;03/10/2024 16:57;R_8rAnbpxnoeL0WIc;CS;28;Block 5;Agreed;Male;Male;22;Czech;Exclusively heterosexual;Serious relationship;Bachelor's degree (Bc., BcA.);Large city over 100 000 inhabitants;15 000-30 000 CZK/month;Male;22;Bachelor's degree
03/10/2024 16:59;03/10/2024 17:14;100;950;TRUE;03/10/2024 17:14;R_8HAMAJq30KB7TQO;CS;29;Block 9;Agreed;Male;Male;23;Czech;Exclusively heterosexual;Serious relationship;High school with diploma;Municipalities up to 1000 inhabitants;up to 15 000 CZK/month;Male;23;High school
03/10/2024 17:18;03/10/2024 17:42;100;1453;TRUE;03/10/2024 17:42;R_2qk3pwTIQdKg8Yd;CS;30;Block 7;Agreed;Female;Female;27;Czech;Predominantly heterosexual;Serious relationship;Master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr., etc.);Large city over 100 000 inhabitants;30 000-50 000 CZK/month;Female;27;Master's degree
