1. How did you learn about this study?;2. How old are you?;3. What is your height (in centimeters)?;What is your weight (in kilograms)?;5. What is your nationality?;6. What is your sex according to your ID card?;7. What gender do you identify with?;8. What is your highest level of education?;9. What is the size of the town/city you currently live in?;10. What is your average monthly income?;11. What is your sexual orientation?;12. What is your relationship status?
Connection;Age;Height;Weight;Nationality ;Sex;Gender;Education;Municipality;Income;Sexual Orientation;Relationship Status
From the internet, but not from a friend/acquaintance (e.g., social media).;34;164;58;Czech;Female;Female;University master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr. etc.);City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
through mailing list;22;167;65;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;15,000-30,000 CZK/month;Heterosexual;Single (without a partner)
From the internet, but not from a friend/acquaintance (e.g., social media).;21;163;68;Russian;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;15,000-30,000 CZK/month;Heterosexual;Marriage/registered partnership
From the internet, but not from a friend/acquaintance (e.g., social media).;22;171;56;Ukrainain;Female;Female;University bachelor's degree (Bc., BcA. degree);City over 100 000 inhabitants;up to 15,000 CZK/month;Bisexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;25;169;58;Ukrainain ;Female;Female;University bachelor's degree (Bc., BcA. degree);City over 100 000 inhabitants;15,000-30,000 CZK/month;Bisexual;Single (without a partner)
A friend/acquaintance sent me a link online;18;168;60;Czech;Female;Female;Basic;City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Single (without a partner)
From the internet, but not from a friend/acquaintance (e.g., social media).;19;169;62;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Single (without a partner)
From the internet, but not from a friend/acquaintance (e.g., social media).;20;166;56;Czech;Female;Female;Secondary school with a high school diploma;Town with 50 001-100 000 inhabitants;up to 15,000 CZK/month;Bisexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;24;172;64;Czech;Female;Female;University bachelor's degree (Bc., BcA. degree);City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;NeCommitted relationship
A friend/acquaintance sent me a link online;22;170;62;Czech;Female;Female;University bachelor's degree (Bc., BcA. degree);City over 100 000 inhabitants;15,000-30,000 CZK/month;Heterosexual;Committed relationship
A friend/acquaintance sent me a link online;28;168;51;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;30,000-50,000 CZK/month;Heterosexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;25;170;60;Czech;Female;Female;University bachelor's degree (Bc., BcA. degree);City over 100 000 inhabitants;15,000-30,000 CZK/month;Heterosexual;NeCommitted relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;20;169;53;Czech;Female;Female;Secondary school with a high school diploma;Town with 20 001-50 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
A friend/acquaintance sent me a link online;19;171;59;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Bisexual;Single (without a partner)
From the internet, but not from a friend/acquaintance (e.g., social media).;21;163;49;Slovak;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;NeCommitted relationship
I received an email invitation;26;165;61;Czech;Female;Female;Secondary school with a high school diploma;City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;20;170;61;Czech;Female;Female;Secondary school with a high school diploma;Village up to 1000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;27;167;59;Czech;Female;Female;University bachelor's degree (Bc., BcA. degree);City over 100 000 inhabitants;up to 15,000 CZK/month;Heterosexual;Committed relationship
From the internet, but not from a friend/acquaintance (e.g., social media).;30;168;62;Czech;Female;Female;University master's degree (Mgr., MgA., Ing., MUDr., RNDr., PhDr., PharmDr. etc.);City over 100 000 inhabitants;30,000-50,000 CZK/month;Heterosexual;Committed relationship
