code,Fscore,sex,monthlyincome,avg_brand_knowledge_score,luxury_brand_knowledge,economy_brand_knowledge,accuracy_rate,high_knowledge_count,correct_classification_count,consistency_score,merged_score_simple,merged_score_weighted,merged_score_multiplicative,fscore_z,bks_z,merged_score_zscore
1,19,2,NA,2.5,2.6,2.4,0.9,8,9,0.7,0.6277777777777778,0.5866666666666667,0.35185185185185186,-1.07291988681594,0.9916035190119148,-0.04065818390201259
2,40,1,up to 15 000 CZK/month,2.8,2.6,3,1,9,10,0.9,0.911111111111111,0.9066666666666666,0.8296296296296295,1.6807985481372365,1.4937075943451086,1.5872530712411725
3,21,1,30 000-50 000 CZK/month,2.6666666666666665,3,2.25,0.7,8,7,0.8,0.6777777777777778,0.6355555555555555,0.4148148148148148,-0.8106609882489708,1.2705502275303557,0.22994461964069246
4,28,1,up to 15 000 CZK/month,1.8888888888888888,2,1.8,0.9,4,9,0.4,0.625925925925926,0.6251851851851853,0.3917695473251029,0.10724515673542136,-0.031201078889036133,0.038022038923192614
5,34,1,up to 15 000 CZK/month,1.7777777777777777,1,2.4,0.7,4,7,0.5,0.674074074074074,0.6903703703703703,0.44773662551440324,0.8940218524363289,-0.21716555123466363,0.33842815060083264
6,28,1,up to 15 000 CZK/month,2.8,2.6,3,1,9,10,0.9,0.7777777777777777,0.7466666666666666,0.5807407407407407,0.10724515673542136,1.4937075943451086,0.800476375540265
7,15,2,up to 15 000 CZK/month,1,1,1,0.8,0,8,0.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,-1.5974376839498785,-1.5189168576540555,-1.558177270801967
8,28,2,up to 15 000 CZK/month,2.3,1.8,2.8,0.9,7,9,0.6,0.6944444444444444,0.6799999999999999,0.477037037037037,0.10724515673542136,0.6568674687897851,0.3820563127626032
9,12,1,up to 15 000 CZK/month,1,NA,1,0.3,0,3,0.1,0.3,0.29333333333333333,0.08888888888888888,-1.9908260318003324,-1.5189168576540555,-1.7548714447271938
10,26,1,up to 15 000 CZK/month,1,1,1,0.5,0,5,0.4,0.4555555555555555,0.48,0.19259259259259257,-0.15501374183154784,-1.5189168576540555,-0.8369652997428016
11,28,1,up to 15 000 CZK/month,1.3,1,1.6,0.7,2,7,0.3,0.5277777777777778,0.5466666666666666,0.26962962962962966,0.10724515673542136,-1.0168127823208613,-0.45478381279271995
12,34,1,up to 15 000 CZK/month,1.4,1,1.8,0.9,2,9,0.3,0.611111111111111,0.6399999999999999,0.35259259259259257,0.8940218524363289,-0.8494447572097968,0.02228854761326604
13,34,1,up to 15 000 CZK/month,2.6,2.4,2.8,0.7,9,7,0.8,0.8111111111111111,0.8,0.6548148148148148,0.8940218524363289,1.1589715441229795,1.0264966982796542
14,31,1,15 000-30 000 CZK/month,2.8,2.8,2.8,0.8,10,8,0.8,0.8111111111111111,0.7866666666666666,0.6429629629629628,0.5006335045858752,1.4937075943451086,0.9971705494654919
15,43,1,over 50 000 CZK/month,2.7,3,2.4,0.7,10,7,0.7,0.9277777777777778,0.9333333333333333,0.8600000000000001,2.0741868959876903,1.3263395692340445,1.7002632326108675
16,38,1,up to 15 000 CZK/month,1.8,1.8,1.8,0.9,4,9,0.5,0.7222222222222222,0.7466666666666666,0.5066666666666666,1.4185396495702673,-0.17997265676553792,0.6192834964023647
17,30,1,15 000-30 000 CZK/month,1.2,1.4,1,0.7,1,7,0.4,0.5333333333333333,0.5599999999999999,0.2666666666666666,0.36950405530239055,-1.1841808074319262,-0.40733837606476786
18,18,1,up to 15 000 CZK/month,1.4,1,1.8,1,2,10,0.2,0.43333333333333335,0.42666666666666664,0.18666666666666665,-1.2040493360994247,-0.8494447572097968,-1.0267470466546107
19,19,2,15 000-30 000 CZK/month,1.3,1,1.6,0.7,2,7,0.3,0.4277777777777778,0.42666666666666664,0.18296296296296297,-1.07291988681594,-1.0168127823208613,-1.0448663345684006
20,21,1,up to 15 000 CZK/month,1.4,1.4,1.4,0.6,2,6,0.6,0.4666666666666667,0.4666666666666666,0.21777777777777776,-0.8106609882489708,-0.8494447572097968,-0.8300528727293839
21,33,1,up to 15 000 CZK/month,1.5,1.6,1.4,0.9,3,9,0.2,0.6166666666666667,0.6399999999999999,0.36666666666666664,0.7628924031528443,-0.682076732098732,0.04040783552705618
22,21,1,up to 15 000 CZK/month,1.4,1,1.8,0.8,2,8,0.4,0.4666666666666667,0.4666666666666666,0.21777777777777776,-0.8106609882489708,-0.8494447572097968,-0.8300528727293839
23,39,1,up to 15 000 CZK/month,2.2,2.2,2.2,1,6,10,0.6,0.8,0.8133333333333335,0.6355555555555557,1.549669098853752,0.48949944367872106,1.0195842712662366
24,32,1,up to 15 000 CZK/month,1.7142857142857142,1,2.25,0.8,3,8,0.2,0.6412698412698412,0.6552380952380953,0.40634920634920635,0.6317629538693598,-0.3234309640035936,0.15416599493288308
25,23,1,up to 15 000 CZK/month,2,2,2,0.8,5,8,0.5,0.5888888888888888,0.5733333333333333,0.3407407407407407,-0.5484020896820017,0.15476339345659137,-0.19681934811270513
26,26,1,up to 15 000 CZK/month,2.4,2.2,2.6,0.9,7,9,0.8,0.6888888888888889,0.6666666666666666,0.46222222222222215,-0.15501374183154784,0.8242354939008499,0.33461087603465106
27,16,2,up to 15 000 CZK/month,1,1,1,0.6,0,6,0.4,0.34444444444444444,0.3466666666666667,0.11851851851851852,-1.4663082346663938,-1.5189168576540555,-1.4926125461602247
28,15,2,15 000-30 000 CZK/month,1,1,1,0.8,0,8,0.2,0.3333333333333333,0.3333333333333333,0.1111111111111111,-1.5974376839498785,-1.5189168576540555,-1.558177270801967
29,26,2,up to 15 000 CZK/month,2.375,2.5,2.25,0.7,6,7,0.6,0.6847222222222222,0.6633333333333333,0.4574074074074073,-0.15501374183154784,0.7823934876230839,0.31368987289576805
30,18,1,30 000-50 000 CZK/month,1.7,1.4,2,0.8,4,8,0.4,0.48333333333333334,0.4666666666666667,0.22666666666666668,-1.2040493360994247,-0.3473406818766027,-0.7756950089880137
31,27,1,up to 15 000 CZK/month,1.4,1,1.8,0.7,2,7,0.5,0.5333333333333333,0.5466666666666666,0.27999999999999997,-0.02388429254806324,-0.8494447572097968,-0.43666452487893004
32,31,1,30 000-50 000 CZK/month,1.125,1,1.25,0.7,1,7,0.2,0.5319444444444444,0.5633333333333334,0.2583333333333333,0.5006335045858752,-1.3097068262652245,-0.40453666083967466
33,32,1,up to 15 000 CZK/month,2.5,3,2,0.7,8,7,0.9,0.7722222222222223,0.76,0.5925925925925927,0.6317629538693598,0.9916035190119148,0.8116832364406372
34,24,1,up to 15 000 CZK/month,2.4,2.2,2.6,1,7,10,0.7,0.6666666666666666,0.64,0.42666666666666664,-0.417272640398517,0.8242354939008499,0.20348142675116646
35,22,1,up to 15 000 CZK/month,2.625,3,2.4,0.7,8,7,0.5,0.6819444444444445,0.6433333333333333,0.42777777777777776,-0.6795315389654862,1.2008135504007456,0.26064100571762966
36,34,2,15 000-30 000 CZK/month,2.5,2.4,2.6,0.8,8,8,0.8,0.7944444444444445,0.7866666666666666,0.6296296296296297,0.8940218524363289,0.9916035190119148,0.9428126857241219
